# Time	field	min	position(min)	max	position(max)
1180	Ua	0	(0 0.0093083 0)	0.450978	(0.0749621 0.013582 -1.33482e-20)
1181	Ua	0	(0 0.0093083 0)	0.450979	(0.0749621 0.013582 -1.33482e-20)
1182	Ua	0	(0 0.0093083 0)	0.450979	(0.0749621 0.013582 -1.33482e-20)
1183	Ua	0	(0 0.0093083 0)	0.45098	(0.0749621 0.013582 -1.33482e-20)
1184	Ua	0	(0 0.0093083 0)	0.45098	(0.0749621 0.013582 -1.33482e-20)
1185	Ua	0	(0 0.0093083 0)	0.450981	(0.0749621 0.013582 -1.33482e-20)
1186	Ua	0	(0 0.0093083 0)	0.450981	(0.0749621 0.013582 -1.33482e-20)
1187	Ua	0	(0 0.0093083 0)	0.450981	(0.0749621 0.013582 -1.33482e-20)
1188	Ua	0	(0 0.0093083 0)	0.450982	(0.0749621 0.013582 -1.33482e-20)
1189	Ua	0	(0 0.0093083 0)	0.450982	(0.0749621 0.013582 -1.33482e-20)
1190	Ua	0	(0 0.0093083 0)	0.450982	(0.0749621 0.013582 -1.33482e-20)
1191	Ua	0	(0 0.0093083 0)	0.450983	(0.0749621 0.013582 -1.33482e-20)
1192	Ua	0	(0 0.0093083 0)	0.450983	(0.0749621 0.013582 -1.33482e-20)
1193	Ua	0	(0 0.0093083 0)	0.450983	(0.0749621 0.013582 -1.33482e-20)
1194	Ua	0	(0 0.0093083 0)	0.450984	(0.0749621 0.013582 -1.33482e-20)
1195	Ua	0	(0 0.0093083 0)	0.450984	(0.0749621 0.013582 -1.33482e-20)
1196	Ua	0	(0 0.0093083 0)	0.450984	(0.0749621 0.013582 -1.33482e-20)
1197	Ua	0	(0 0.0093083 0)	0.450985	(0.0749621 0.013582 -1.33482e-20)
1198	Ua	0	(0 0.0093083 0)	0.450985	(0.0749621 0.013582 -1.33482e-20)
1199	Ua	0	(0 0.0093083 0)	0.450985	(0.0749621 0.013582 -1.33482e-20)
1200	Ua	0	(0 0.0093083 0)	0.450985	(0.0749621 0.013582 -1.33482e-20)
1201	Ua	0	(0 0.0093083 0)	0.450985	(0.0749621 0.013582 -1.33482e-20)
1202	Ua	0	(0 0.0093083 0)	0.450986	(0.0749621 0.013582 -1.33482e-20)
1203	Ua	0	(0 0.0093083 0)	0.450986	(0.0749621 0.013582 -1.33482e-20)
1204	Ua	0	(0 0.0093083 0)	0.450986	(0.0749621 0.013582 -1.33482e-20)
1205	Ua	0	(0 0.0093083 0)	0.450986	(0.0749621 0.013582 -1.33482e-20)
1206	Ua	0	(0 0.0093083 0)	0.450986	(0.0749621 0.013582 -1.33482e-20)
1207	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1208	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1209	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1210	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1211	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1212	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1213	Ua	0	(0 0.0093083 0)	0.450987	(0.0749621 0.013582 -1.33482e-20)
1214	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1215	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1216	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1217	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1218	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1219	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1220	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1221	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1222	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1223	Ua	0	(0 0.0093083 0)	0.450988	(0.0749621 0.013582 -1.33482e-20)
1224	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1225	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1226	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1227	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1228	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1229	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1230	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1231	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1232	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1233	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1234	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1235	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1236	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1237	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1238	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1239	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1240	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1241	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1242	Ua	0	(0 0.0093083 0)	0.450989	(0.0749621 0.013582 -1.33482e-20)
1243	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1244	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1245	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1246	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1247	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1248	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1249	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1250	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1251	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1252	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1253	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1254	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1255	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1256	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
