# Time	field	min	position(min)	max	position(max)
1193	Ua	0	(0.0101886 0.0130353 0)	59.2562	(0.0498085 0.0148949 -2.71874e-20)
1194	Ua	0	(0.0101886 0.0130353 0)	59.2675	(0.0498085 0.0148949 -2.71874e-20)
1195	Ua	0	(0.0101886 0.0130353 0)	59.2786	(0.0498085 0.0148949 -2.71874e-20)
1196	Ua	0	(0.0101886 0.0130353 0)	59.2896	(0.0498085 0.0148949 -2.71874e-20)
1197	Ua	0	(0.0101886 0.0130353 0)	59.3005	(0.0498085 0.0148949 -2.71874e-20)
1198	Ua	0	(0.0101886 0.0130353 0)	59.3112	(0.0498085 0.0148949 -2.71874e-20)
1199	Ua	0	(0.0101886 0.0130353 0)	59.3218	(0.0498085 0.0148949 -2.71874e-20)
1200	Ua	0	(0.0101886 0.0130353 0)	59.3322	(0.0498085 0.0148949 -2.71874e-20)
1201	Ua	0	(0.0101886 0.0130353 0)	59.3425	(0.0498085 0.0148949 -2.71874e-20)
1202	Ua	0	(0.0101886 0.0130353 0)	59.3527	(0.0498085 0.0148949 -2.71874e-20)
1203	Ua	0	(0.0101886 0.0130353 0)	59.3628	(0.0498085 0.0148949 -2.71874e-20)
1204	Ua	0	(0.0101886 0.0130353 0)	59.3727	(0.0498085 0.0148949 -2.71874e-20)
1205	Ua	0	(0.0101886 0.0130353 0)	59.3825	(0.0498085 0.0148949 -2.71874e-20)
1206	Ua	0	(0.0101886 0.0130353 0)	59.3922	(0.0498085 0.0148949 -2.71874e-20)
1207	Ua	0	(0.0101886 0.0130353 0)	59.4018	(0.0498085 0.0148949 -2.71874e-20)
1208	Ua	0	(0.0101886 0.0130353 0)	59.4112	(0.0498085 0.0148949 -2.71874e-20)
1209	Ua	0	(0.0101886 0.0130353 0)	59.4205	(0.0498085 0.0148949 -2.71874e-20)
1210	Ua	0	(0.0101886 0.0130353 0)	59.4297	(0.0498085 0.0148949 -2.71874e-20)
1211	Ua	0	(0.0101886 0.0130353 0)	59.4387	(0.0498085 0.0148949 -2.71874e-20)
1212	Ua	0	(0.0101886 0.0130353 0)	59.4477	(0.0498085 0.0148949 -2.71874e-20)
1213	Ua	0	(0.0101886 0.0130353 0)	59.4565	(0.0498085 0.0148949 -2.71874e-20)
1214	Ua	0	(0.0101886 0.0130353 0)	59.4652	(0.0498085 0.0148949 -2.71874e-20)
1215	Ua	0	(0.0101886 0.0130353 0)	59.4738	(0.0498085 0.0148949 -2.71874e-20)
1216	Ua	0	(0.0101886 0.0130353 0)	59.4823	(0.0498085 0.0148949 -2.71874e-20)
1217	Ua	0	(0.0101886 0.0130353 0)	59.4906	(0.0498085 0.0148949 -2.71874e-20)
1218	Ua	0	(0.0101886 0.0130353 0)	59.4989	(0.0498085 0.0148949 -2.71874e-20)
1219	Ua	0	(0.0101886 0.0130353 0)	59.5071	(0.0498085 0.0148949 -2.71874e-20)
1220	Ua	0	(0.0101886 0.0130353 0)	59.5151	(0.0498085 0.0148949 -2.71874e-20)
1221	Ua	0	(0.0101886 0.0130353 0)	59.5231	(0.0498085 0.0148949 -2.71874e-20)
1222	Ua	0	(0.0101886 0.0130353 0)	59.531	(0.0498085 0.0148949 -2.71874e-20)
