# Time	field	min	position(min)	max	position(max)
1207	Ua	0	(0 0.0093083 0)	0.58716	(0.263314 0.0146683 -2.31974e-20)
1208	Ua	0	(0 0.0093083 0)	0.587787	(0.263314 0.0146683 -2.31974e-20)
1209	Ua	0	(0 0.0093083 0)	0.588396	(0.263314 0.0146683 -2.31974e-20)
1210	Ua	0	(0 0.0093083 0)	0.588986	(0.263314 0.0146683 -2.31974e-20)
1211	Ua	0	(0 0.0093083 0)	0.589559	(0.263314 0.0146683 -2.31974e-20)
1212	Ua	0	(0 0.0093083 0)	0.590158	(0.262064 0.0145751 1.12905e-20)
1213	Ua	0	(0 0.0093083 0)	0.590794	(0.262064 0.0145751 1.12905e-20)
1214	Ua	0	(0 0.0093083 0)	0.59141	(0.262064 0.0145751 1.12905e-20)
1215	Ua	0	(0 0.0093083 0)	0.592008	(0.262064 0.0145751 1.12905e-20)
1216	Ua	0	(0 0.0093083 0)	0.592588	(0.262064 0.0145751 1.12905e-20)
1217	Ua	0	(0 0.0093083 0)	0.593152	(0.262064 0.0145751 1.12905e-20)
1218	Ua	0	(0 0.0093083 0)	0.593737	(0.260816 0.0144892 2.34642e-20)
1219	Ua	0	(0 0.0093083 0)	0.594361	(0.260816 0.0144892 2.34642e-20)
1220	Ua	0	(0 0.0093083 0)	0.594966	(0.260816 0.0144892 2.34642e-20)
1221	Ua	0	(0 0.0093083 0)	0.595554	(0.260816 0.0144892 2.34642e-20)
1222	Ua	0	(0 0.0093083 0)	0.596125	(0.260816 0.0144892 2.34642e-20)
1223	Ua	0	(0 0.0093083 0)	0.596678	(0.260816 0.0144892 2.34642e-20)
1224	Ua	0	(0 0.0093083 0)	0.597251	(0.25957 0.0144108 0)
1225	Ua	0	(0 0.0093083 0)	0.597864	(0.25957 0.0144108 0)
1226	Ua	0	(0 0.0093083 0)	0.598459	(0.25957 0.0144108 0)
1227	Ua	0	(0 0.0093083 0)	0.599037	(0.25957 0.0144108 0)
1228	Ua	0	(0 0.0093083 0)	0.599597	(0.25957 0.0144108 0)
1229	Ua	0	(0 0.0093083 0)	0.600142	(0.25957 0.0144108 0)
1230	Ua	0	(0 0.0093083 0)	0.600704	(0.258327 0.0143405 0)
1231	Ua	0	(0 0.0093083 0)	0.601306	(0.258327 0.0143405 0)
1232	Ua	0	(0 0.0093083 0)	0.60189	(0.258327 0.0143405 0)
1233	Ua	0	(0 0.0093083 0)	0.602458	(0.258327 0.0143405 0)
1234	Ua	0	(0 0.0093083 0)	0.603009	(0.258327 0.0143405 0)
1235	Ua	0	(0 0.0093083 0)	0.603544	(0.258327 0.0143405 0)
1236	Ua	0	(0 0.0093083 0)	0.604098	(0.257087 0.0142784 -1.15399e-20)
1237	Ua	0	(0 0.0093083 0)	0.604689	(0.257087 0.0142784 -1.15399e-20)
1238	Ua	0	(0 0.0093083 0)	0.605262	(0.257087 0.0142784 -1.15399e-20)
1239	Ua	0	(0 0.0093083 0)	0.60582	(0.257087 0.0142784 -1.15399e-20)
1240	Ua	0	(0 0.0093083 0)	0.606361	(0.257087 0.0142784 -1.15399e-20)
1241	Ua	0	(0 0.0093083 0)	0.606886	(0.257087 0.0142784 -1.15399e-20)
1242	Ua	0	(0 0.0093083 0)	0.607433	(0.255849 0.014225 -1.2348e-20)
1243	Ua	0	(0 0.0093083 0)	0.608013	(0.255849 0.014225 -1.2348e-20)
1244	Ua	0	(0 0.0093083 0)	0.608576	(0.255849 0.014225 -1.2348e-20)
1245	Ua	0	(0 0.0093083 0)	0.609123	(0.255849 0.014225 -1.2348e-20)
1246	Ua	0	(0 0.0093083 0)	0.609655	(0.255849 0.014225 -1.2348e-20)
1247	Ua	0	(0 0.0093083 0)	0.610171	(0.255849 0.014225 -1.2348e-20)
1248	Ua	0	(0 0.0093083 0)	0.61071	(0.254613 0.0141807 -1.24014e-20)
1249	Ua	0	(0 0.0093083 0)	0.611279	(0.254613 0.0141807 -1.24014e-20)
1250	Ua	0	(0 0.0093083 0)	0.611832	(0.254613 0.0141807 -1.24014e-20)
1251	Ua	0	(0 0.0093083 0)	0.612369	(0.254613 0.0141807 -1.24014e-20)
1252	Ua	0	(0 0.0093083 0)	0.612891	(0.254613 0.0141807 -1.24014e-20)
1253	Ua	0	(0 0.0093083 0)	0.613397	(0.254613 0.0141807 -1.24014e-20)
1254	Ua	0	(0 0.0093083 0)	0.613934	(0.25338 0.0141457 3.58505e-20)
1255	Ua	0	(0 0.0093083 0)	0.614492	(0.25338 0.0141457 3.58505e-20)
1256	Ua	0	(0 0.0093083 0)	0.615034	(0.25338 0.0141457 3.58505e-20)
1257	Ua	0	(0 0.0093083 0)	0.615561	(0.25338 0.0141457 3.58505e-20)
1258	Ua	0	(0 0.0093083 0)	0.616073	(0.25338 0.0141457 3.58505e-20)
1259	Ua	0	(0 0.0093083 0)	0.616571	(0.25338 0.0141457 3.58505e-20)
1260	Ua	0	(0 0.0093083 0)	0.617116	(0.252149 0.0141205 -1.17464e-20)
1261	Ua	0	(0 0.0093083 0)	0.617663	(0.252149 0.0141205 -1.17464e-20)
1262	Ua	0	(0 0.0093083 0)	0.618195	(0.252149 0.0141205 -1.17464e-20)
1263	Ua	0	(0 0.0093083 0)	0.618713	(0.252149 0.0141205 -1.17464e-20)
1264	Ua	0	(0 0.0093083 0)	0.619215	(0.252149 0.0141205 -1.17464e-20)
1265	Ua	0	(0 0.0093083 0)	0.61973	(0.25092 0.0141053 3.61218e-20)
1266	Ua	0	(0 0.0093083 0)	0.620282	(0.25092 0.0141053 3.61218e-20)
1267	Ua	0	(0 0.0093083 0)	0.62082	(0.25092 0.0141053 3.61218e-20)
1268	Ua	0	(0 0.0093083 0)	0.621342	(0.25092 0.0141053 3.61218e-20)
1269	Ua	0	(0 0.0093083 0)	0.6219	(0.249694 0.014101 0)
1270	Ua	0	(0 0.0093083 0)	0.622473	(0.249694 0.014101 0)
1271	Ua	0	(0 0.0093083 0)	0.623031	(0.249694 0.014101 0)
1272	Ua	0	(0 0.0093083 0)	0.623574	(0.249694 0.014101 0)
1273	Ua	0	(0 0.0093083 0)	0.624174	(0.24847 0.0141095 0)
1274	Ua	0	(0 0.0093083 0)	0.624769	(0.24847 0.0141095 0)
1275	Ua	0	(0 0.0093083 0)	0.625347	(0.24847 0.0141095 0)
1276	Ua	0	(0 0.0093083 0)	0.62591	(0.24847 0.0141095 0)
1277	Ua	0	(0 0.0093083 0)	0.626458	(0.24847 0.0141095 0)
1278	Ua	0	(0 0.0093083 0)	0.626991	(0.24847 0.0141095 0)
1279	Ua	0	(0 0.0093083 0)	0.627509	(0.24847 0.0141095 0)
1280	Ua	0	(0 0.0093083 0)	0.628012	(0.24847 0.0141095 0)
1281	Ua	0	(0 0.0093083 0)	0.628502	(0.24847 0.0141095 0)
1282	Ua	0	(0 0.0093083 0)	0.628978	(0.24847 0.0141095 0)
1283	Ua	0	(0 0.0093083 0)	0.629441	(0.24847 0.0141095 0)
1284	Ua	0	(0 0.0093083 0)	0.629891	(0.24847 0.0141095 0)
1285	Ua	0	(0 0.0093083 0)	0.630328	(0.24847 0.0141095 0)
1286	Ua	0	(0 0.0093083 0)	0.630752	(0.24847 0.0141095 0)
1287	Ua	0	(0 0.0093083 0)	0.631165	(0.24847 0.0141095 0)
1288	Ua	0	(0 0.0093083 0)	0.631565	(0.24847 0.0141095 0)
1289	Ua	0	(0 0.0093083 0)	0.631954	(0.24847 0.0141095 0)
1290	Ua	0	(0 0.0093083 0)	0.632332	(0.24847 0.0141095 0)
1291	Ua	0	(0 0.0093083 0)	0.632699	(0.24847 0.0141095 0)
1292	Ua	0	(0 0.0093083 0)	0.633055	(0.24847 0.0141095 0)
1293	Ua	0	(0 0.0093083 0)	0.633401	(0.24847 0.0141095 0)
1294	Ua	0	(0 0.0093083 0)	0.633736	(0.24847 0.0141095 0)
1295	Ua	0	(0 0.0093083 0)	0.634062	(0.24847 0.0141095 0)
1296	Ua	0	(0 0.0093083 0)	0.634405	(0.247248 0.0141314 0)
1297	Ua	0	(0 0.0093083 0)	0.634765	(0.247248 0.0141314 0)
1298	Ua	0	(0 0.0093083 0)	0.635115	(0.247248 0.0141314 0)
1299	Ua	0	(0 0.0093083 0)	0.635454	(0.247248 0.0141314 0)
1300	Ua	0	(0 0.0093083 0)	0.635784	(0.247248 0.0141314 0)
1301	Ua	0	(0 0.0093083 0)	0.636104	(0.247248 0.0141314 0)
1302	Ua	0	(0 0.0093083 0)	0.636415	(0.247248 0.0141314 0)
1303	Ua	0	(0 0.0093083 0)	0.636716	(0.247248 0.0141314 0)
1304	Ua	0	(0 0.0093083 0)	0.637008	(0.247248 0.0141314 0)
1305	Ua	0	(0 0.0093083 0)	0.637292	(0.247248 0.0141314 0)
1306	Ua	0	(0 0.0093083 0)	0.637567	(0.247248 0.0141314 0)
1307	Ua	0	(0 0.0093083 0)	0.637834	(0.247248 0.0141314 0)
1308	Ua	0	(0 0.0093083 0)	0.638093	(0.247248 0.0141314 0)
1309	Ua	0	(0 0.0093083 0)	0.638344	(0.247248 0.0141314 0)
